id,Actor,Code,URL,Type,Headquarters Location,State,Health as primary intent?,Year of Inception
1,Abt Associates,ABA,abtassociates.com,7,"Cambridge, MA",USA,No,1965
2,Accordia Global Health Foundation,AGH,accordiafoundation.org,6,"Washington, DC",USA,Yes,2000
3,ACTION (Global Health Advocacy Partnership),ACT,action.org,6,"Washington, DC",USA,Yes,2004
4,Action Against Hunger International,AAH,actionagainsthunger.org,6,"New York City, NY",USA,Yes,1979
5,Action on Smoking and Health,ASH,ash.org,6,"Washington, DC",USA,Yes,1967
6,Advocates for Youth,AFY,advocatesforyouth.org,6,"Washington, DC",USA,Yes,1980
7,Aeras,AER,aeras.org,6,"Rockville, MD",USA,Yes,2003
8,Africa Fighting Malaria,AFM,fightingmalaria.org,6,Durban,South Africa,Yes,2000
9,African Leaders Malaria Alliance,ALM,alma2015.org,2,"New York City, NY",USA,Yes,2009
10,Africare,AFR,africare.org,6,"Washington, DC",USA,No,1970
11,Against Malaria Foundation,AMF,againstmalaria.com,6,St. Albans,UK,Yes,2004
12,AIDS Healthcare Foundation,AHF,aidshealth.org,6,Amsterdam,Netherlands,Yes,1987
13,Alliance for Health Policy and Systems Research,AHP,who.int/alliance-hpsr,4,Geneva,Switzerland,Yes,1999
14,America Association of Occupational Health Nurses,AAO,aaohn.org,8,"Pensacola, FL",USA,No,1998
15,American Association of Veterinary Parasitologists,AAV,aavp.org,8,"Shawnee, KS",USA,No,1956
16,American College of Preventive Medicine,ACP,acpm.org,8,"Washington, DC",USA,Yes,1954
17,American International Health Alliance,AIH,aiha.com,6,"Washington, DC",USA,Yes,1992
18,American Jewish World Service,AJW,ajws.org,6,"New York City, NY",USA,No,1985
19,American Public Health Association,APH,apha.org,8,"Washington, DC",USA,Yes,1872
20,American Red Cross,ARC,redcross.org,6,"Washington, DC",USA,No,1881
21,American Refugee Committee,ARO,arcrelief.org,6,"Minneapolis, MN",USA,No,1979
22,American Society for Microbiology,ASM,asm.org,8,"Washington, DC",USA,No,1899
23,American Society of Tropical Medicine and Hygiene,AST,astmh.org,6,"Deerfield, IL",USA,Yes,1903
24,American Thoracic Society,ATS,thoracic.org,8,"New York City, NY",USA,Yes,1905
25,amfAR (Foundation for AIDS Research),AMA,amfar.org,6,"New York City, NY",USA,Yes,1985
26,Anaerobe Society of the Americas,ASA,anaerobe.org,8,"Los Angeles, CA",USA,Yes,1992
27,Asia Pacific Malaria Elimination Network,APM,apmen.org,4,Herston,Australia,Yes,2009
28,Association of Public Health Laboratories,APL,aphl.org,6,"Silver Spring, MD",USA,Yes,1951
29,Australasian College of Tropical Medicine,ACM,tropmed.org,8,Brisbane,Australia,Yes,1991
30,AVAC: Global Advocacy for HIV Prevention,AVA,avac.org,6,"New York City, NY",USA,Yes,1995
31,AVERT,AVE,avert.org,6,Horsham,UK,Yes,1986
32,Bill & Melinda Gates Foundation,BMG,gatesfoundation.org,5,"Seattle, WA",USA,No,2000
33,BIO Ventures for Global Health,BVG,bvgh.org,6,"Seattle, WA",USA,Yes,2004
34,Campaign for Tobacco-Free Kids,CTF,global.tobaccofreekids.org,6,"Washington, DC",USA,Yes,1995
35,CARE International,CAI,care-international.org,6,Geneva,Switzerland,No,1945
36,Caritas International,CRI,caritas.org,6,Vatican City,Vatican City State,No,1897
37,Catholic Medical Mission Board,CMM,cmmb.org,6,"New York City, NY",USA,Yes,1912
38,Catholics for Choice,CFC,catholicsforchoice.org,6,"Washington, DC",USA,No,1973
39,CDC Foundation,CDC,cdcfoundation.org,6,"Atlanta, GA",USA,Yes,1995
40,Center for Global Development,CGD,cgdev.org,6,"Washington, DC",USA,No,2001
41,Center for Health and Gender Equity,CHG,genderhealth.org,6,"Washington, DC",USA,No,1994
42,Center for International Environmental Law,CIE,ciel.org,6,"Washington, DC",USA,No,1989
43,Center for Reproductive Rights,CRR,reproductiverights.org,6,"New York City, NY",USA,No,1992
44,Centers for Disease Control and Prevention,CDP,cdc.gov,1,"Atlanta, GA",USA,Yes,1946
45,Chemonics International,CHI,chemonics.com,7,"Washington, DC",USA,No,1975
46,Christian Connections for International Health,CCI,ccih.org,6,"McLean, VA",USA,Yes,1987
47,CONRAD,CON,conrad.org,6,"Arlington, VA",USA,Yes,1986
48,Consultative Group on Early Childhood Care and Development,CGE,ecdgroup.com,6,Toronto,Canada,No,1984
49,CORE Group,COG,coregroup.org,6,"Washington, DC",USA,Yes,1997
50,Countdown to 2015,COT,countdown2015mnch.org,6,Geneva,Switzerland,Yes,2005
51,Direct Relief,DIR,directrelief.org,6,"Santa Barbara, CA",USA,Yes,1948
52,Doctors for Global Health,DGH,dghonline.org,6,"Decatur, GA",USA,No,1995
53,Elizabeth Glaser Pediatric AIDS Foundation,EGP,pedaids.org,6,"Washington, DC",USA,Yes,1988
54,Elton John AIDS Foundation,EJA,ejaf.org,6,London,UK,Yes,1992
55,EngenderHealth,ENH,engenderhealth.org,6,"New York City, NY",USA,Yes,1943
56,Episcopal Relief & Development,ERD,episcopalrelief.org,6,"New York City, NY",USA,No,1940
57,European & Developing Countries Clinical Trials Partnership,EDC,edctp.org,2,The Hague,Netherlands,Yes,2003
58,European AIDS Treatment Group,EAT,eatg.org,6,Brussels,Belgium,Yes,1992
59,European Food Information Council,EFI,eufic.org,6,Brussels,Belgium,No,1995
60,European Generic Medicines Association,EGM,egagenerics.com,7,Brussels,Belgium,No,1993
61,European Medical Students’ Association,EMS,emsa-europe.org,6,Brussels,Belgium,No,1991
62,"European NGOs for Sexual and Reproductive Health and Rights, Population and Development",ENS,eurongos.org,6,Brussels,Belgium,Yes,1996
63,European Observatory on Health Systems and Policies,EOH,euro.who.int/en/about-us/partners/observatory,4,Brussels,Belgium,Yes,1998
64,European Respiratory Society,ERS,ersnet.org,8,Lausanne,Switzerland,Yes,1990
65,European Vaccine Initiative,EVI,euvaccine.eu,6,Heidelberg,Germany,Yes,1998
66,Family Care International,FCI,familycareintl.org,6,"New York City, NY",USA,Yes,1986
67,Federation of American Societies for Experimental Biology,FAS,faseb.org,8,"Bethesda, OH",USA,Yes,1912
68,Feed the Future,FTF,feedthefuture.gov,1,"Washington, DC",USA,No,2010
69,FHI 360 (formerly Family Health International),FHI,fhi360.org,6,"Durham, NC",USA,No,2011
70,Firelight Foundation,FIF,firelightfoundation.org,6,"Santa Cruz, CA",USA,No,2000
71,Fistula Foundation,FSF,fistulafoundation.org,6,"San Jose, CA",USA,Yes,2000
72,Food and Agriculture Organization of the United Nations,FAO,fao.org,2,Rome,Italy,No,1945
73,Foundation for Innovative New Diagnostics,FIN,finddiagnostics.org,6,Geneva,Switzerland,Yes,2003
74,Foundation for International Medical Relief of Children,FIM,fimrc.org,6,"Philadelphia, PA",USA,Yes,2002
75,Framework Convention Alliance for Tobacco Control,FCA,fctc.org,6,Geneva,Switzerland,No,1999
76,Futures Group,FUG,futuresgroup.com,7,"Washington, DC",USA,Yes,1971
77,"Gavi, the Vaccine Alliance",GAA,gavialliance.org,4,Geneva,Switzerland,Yes,1999
78,GBCHealth,GBH,gbchealth.org,6,"New York City, NY",USA,Yes,2001
79,Global Advisors Smokefree Policy,GAS,njgasp.org,6,"Summit, NJ",USA,No,1974
80,Global Alliance for TB Drug Development,GAT,tballiance.org,4,"New York City, NY",USA,Yes,2000
81,Global Coalition Against Child Pneumonia,GCA,worldpneumoniaday.org,4,"Baltimore, MD",USA,Yes,2009
82,Global Communities,GLC,globalcommunities.org,6,"Silver Spring, MD",USA,No,1952
83,Global Health Corps,GHC,ghcorps.org,6,"New York City, NY",USA,No,2008
84,Global Health Council,GHO,globalhealth.org,6,"Washington, DC",USA,Yes,1972
85,Global Health Workforce Alliance,GHW,who.int/workforcealliance,4,Geneva,Switzerland,Yes,2006
86,Global HIV Vaccine Enterprise,GHV,vaccineenterprise.org,6,"New York City, NY",USA,Yes,2004
87,Global Hope Network International,GHN,globalhopenetwork.org,6,Geneva,Switzerland,No,1999
88,Global Network of People Living with HIV,GNP,gnpplus.net,6,Amsterdam,Netherlands,No,1986
89,Guttmacher Institute,GUI,guttmacher.org,6,"New York City, NY",USA,Yes,1968
90,Health Action International,HAI,haiweb.org,6,Geneva,Switzerland,Yes,1981
91,Health Skepticism Inc,HIS,healthyskepticism.org,6,Port Willunga,Australia,Yes,1983
92,Health Volunteers Overseas,HVO,hvousa.org,6,"Washington, DC",USA,Yes,1986
93,HealthCare Volunteer,HCV,healthcarevolunteer.com,6,"Los Altos, CA",USA,Yes,2005
